restaurant,city,menu_type,category,dish,price,description,tags
Jack and Jacky's,Leeuwarden,Lunch,BOWLS,AÇAI BOWL,"13,20","Açai, banaan, kokosdrink, granola, pindaswirl, gojibessen, kokos, hennepzaad & blauwe bessen",
Jack and Jacky's,Leeuwarden,Lunch,BOWLS,CHEESECAKE OATS,"10,80","Overnight oats, Griekse yoghurt, aardbeienpuree, blauwe bessen, granola, aardbeien & frambozen",
Jack and Jacky's,Leeuwarden,Lunch,BOWLS,MANGO MADNESS BOWL,"11,60","Mango, banaan, kokosdrink, aardbei, granola, hennepzaad, yoghurt swirl & kokos",
Jack and Jacky's,Leeuwarden,Lunch,BOWLS,BREAKFAST BOWL,"10,10","Griekse yoghurt, granola, banaan, chiazaad, blauwe bessen, frambozen, gojibessen & agavesiroop",
Jack and Jacky's,Leeuwarden,Lunch,PANCAKES,BERRY PANCAKES,"14,60","Bananen pannenkoekjes, Griekse yoghurtroom, banaan, rood fruit puree, blauwe bessen, frambozen, agavesiroop & aardbeien",
Jack and Jacky's,Leeuwarden,Lunch,PANCAKES,LEMON POPPY PANCAKES,"14,30","Bananen pannenkoekjes, opgeklopte mascarpone met mango en citroen, mango puree, blauwmaanzaad, passievruchtsaus & kokos chips",
Jack and Jacky's,Leeuwarden,Lunch,PANCAKES,KIDS PANCAKES,"7,30","Twee kleine bananen pannenkoekjes, blauwe bessen, banaan, aardbei & agavesiroop",
Jack and Jacky's,Leeuwarden,Lunch,SANDWICHES,TUNA,"9,60","Gegrild volkorenbrood, tonijnsalade, avocado, tomaat & huisgemaakte groene pesto",
Jack and Jacky's,Leeuwarden,Lunch,SANDWICHES,CHICKEN,"9,90","Gegrild volkorenbrood, tomaat, gegrilde kip, avocado & huisgemaakte groene pesto",
Jack and Jacky's,Leeuwarden,Lunch,SANDWICHES,KIMCHI,"9,10","Gegrild volkorenbrood, kimchi, smashed avocado, miso & komkommer",
Jack and Jacky's,Leeuwarden,Lunch,SANDWICHES,SPICY AVOCADO,"9,60","Gegrild volkorenbrood,smashed avocado, feta & crispy chili olie",
Jack and Jacky's,Leeuwarden,Lunch,SANDWICHES,SALMON,"11,90","Gegrild volkorenbrood, gerookte zalm, furikake, avocado, hoisin zuivelspread, wasabidressing & komkommer",
Jack and Jacky's,Leeuwarden,Lunch,SANDWICHES,SERRANOHAM,"11,60","Gegrild volkorenbrood, serranoham, mozzarella, tomaat, sla, balsamico & groene pesto",
Jack and Jacky's,Leeuwarden,Lunch,SANDWICHES,CEASER,"10,60","Gegrild volkorenbrood, gemarineerde kip, romeinse sla, ceaserdressing, gekookt ei & parmezaanse kaas",
Jack and Jacky's,Leeuwarden,Lunch,SANDWICHES,BURRATA,"10,90","Gegrild volkorenbrood, burrata, pesto, zoete cherrytomaat, basilicum & pistachecrumble",
Jack and Jacky's,Leeuwarden,Lunch,SANDWICHES,CARPACCIO,"11,30","Gegrild volkorenbrood, pesto, rundercarpaccio, tomaat, sla, Parmezaanse kaas & truffelmayo",
Jack and Jacky's,Leeuwarden,Lunch,SALADS,CHICKEN,"14,90","Gegrilde kip, avocado, crispy tuinbonen, komkommer, tomaat, geroosterde pittenmix, gekookt ei & huisgemaakte groene pesto",
Jack and Jacky's,Leeuwarden,Lunch,SALADS,SALMON,"16,90","Gerookte zalm, furikake, avocado, hoisin zuivespread, radijs, wasabi dressing, komkommer & cashewnoten",
Jack and Jacky's,Leeuwarden,Lunch,SALADS,BURRATA,"16,90","Burrata, komkommer, vijgen, gerookte amandelen, tomaat, balsamico, huisgemaakte groene pesto & pistachecrumble",
Jack and Jacky's,Leeuwarden,Lunch,SALADS,CARPACCIO,"15,30","Rundercarpaccio, pesto, tomaat, komkommer, Parmezaanse kaas, crispy tuinbonen, zongedroogde tomaat & truffelmayo",
Jack and Jacky's,Leeuwarden,Lunch,SALADS,EXTRA'S,"2,00",Glutenvrij brood,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,,"1,50",Gekookt eitje,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,,"2,00",Halve avocado,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,,"2,50",Extra gerookte zalm,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,,"1,40",Extra serranoham,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,,"0,30",Crispy chili oil,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,,"4,50",Schaaltje vers fruit,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,KOFFIE,"3,30",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,AMERICANO,"3,40",Iced / hot,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,ESPRESSO,"3,30",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,DOUBLE ESPRESSO,"3,80",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,ESPRESSO MACCHIATO,"3,50",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,CAPPUCCINO,"3,80",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,CORTADO,"3,50",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,FLAT WHITE,"4,30",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,LATTE MACCHIATO,"4,10",Iced / hot,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,MOCHA COFFEE,"4,50",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,BABYCCINO,"2,60",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,COFFEE SHAKE,"6,40","Espresso, vanille-sojadrink, ijsklontjes & banaan",
Jack and Jacky's,Leeuwarden,Lunch,SALADS,FRESH MINT,"3,90",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,FRESH GINGER,"3,90",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,CHAMOMILE LAVENDER,"3,60",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,ROOIBOS ORANGE,"3,60",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,PURE GREEN,"3,60",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,SPICY LEMON,"3,60",,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,CHAI LATTE,"4,90",Iced / hot,
Jack and Jacky's,Leeuwarden,Lunch,SALADS,DIRTY CHAI LATTE,"5,40",Iced / hot,
Jack and Jacky's,Leeuwarden,Lunch,BAKERY,BANANABREAD,"4,80",Van de grill met verse banaan,
